seller_n-1_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0x61f52f4aa26456de1dd7b72ca97eb99e43d90cd4,1071,1306.0297800925925,14562.169860177546,163622070,120071605094.49393,236340.71241830065,7.3553,21.96508576832788
0x041e8185a7f07d78b06aa8270374773c14228df8,83,1308.6443402777777,291.3889171581837,6660837,167575218951.24097,144888.01204819276,8.775718543812214,25.881609061808966
0xcf6c9980cdbbc3abdcc2ef896323fcdbb6159df1,1122,1843.5416782407408,362.6239454920196,136757340,51926229374.967026,167351.64081996435,0.63,0.6870953354520755
0xf131772381360e6a36581ed162523e339f6e1d67,3326,1481.3013541666667,888.2417145225903,630125902,74065765945.11575,260401.09380637403,0.0934176027333359,0.13012935420090185
0xa789832ab848d232ec7822f90801aef42016b739,828,2149.205949074074,303.1338834190186,74492514,55175391200.57367,130307.04951690821,1.1742,3.5086120845713338
0x2c93b00ff220c5b0fcaef85d6ff01d1f1fd990df,2815,1002.6005787037037,1375.4984802291026,284602077,18333980521.74423,140837.09555950266,0.0027760577160253434,0.007946429576644723
0x5873d3875274753f6680a2256acb02f2e42be1a6,253,2239.0178356481483,127.06166181290217,51245478,62661376258.21344,285386.3320158103,0.1427,0.4125695214142702
0x6aea04fadae73d8535e2507046289fde5883e368,164,1226.0407175925925,549.4267845206919,15246894,75442708384.0061,144168.48170731709,0.29000107192501223,0.5820961575882455
0x2d66b7ea0c89158d7274aef1019423d968f7864f,2014,1320.9356712962963,2283.7446202030646,244279734,71888670761.15492,165454.70854021847,0.566075701771195,1.4391585069119948
0x31fe8439f34ed04514288a6f0f19f26c647cd6ad,3817,2095.0507291666668,20488.548662567307,832367556,107920171944.61855,317131.03353418916,0.175,0.525
0x07e9cceb5aad00723790dbacf861cf3962d3ebfa,63,1042.2720833333333,193.80314023999935,3258463,47367300784.22222,64470.01587301587,15.995015307615622,32.26136867691881
0x58611b3cba4929b03da30285442cc861d949790e,237,1110.9325694444444,1174.1064889569282,41705831,24944187352.097046,218512.8987341772,13.0400001,19.346029499408917
0xf22742f06e4f6d68a8d0b49b9f270bb56affab38,406,774.1477893518519,2234.911342060611,107817793,29348510532.95813,345080.0960591133,20.859085916804787,41.58349748823872
0xe495c36e756ba677d5ae8fb868f8c8a41cc51611,2931,1475.6978703703703,1615.9072805772935,552727158,101399692426.61685,251714.61514841352,0.29342124639495504,0.3659720053236693
0x66ba71efb257982b19d5886b0ae1fabdc6e4b0ee,74,1227.433888888889,54.20783721191831,3996461,26022700454.95946,83173.78378378379,0.0588296790520075,0.03619566623550131
0xdada9e84c051e58f60e92b796620ccf3e4ba9119,469,1473.0377199074073,149.05098093821042,50256894,101501478842.73134,139161.3475479744,0.0,0.0
0x33e3c007d1d48e2b645c9ce22570267b0c82f578,4252,1483.4427893518518,7435.119097310762,699197269,74569647672.15498,219640.48236124177,0.005003188022891546,0.012040274550129416
0xe74207386ac0dc2091da54f39b617ee0720efb69,128,1208.7822685185185,131.63488474483003,11435161,71352264087.47656,117222.421875,0.24899999999999997,0.369335890484529
